,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
26613,26614,1.5,Fair,F,VVS2,64.7,53,16364,7.22,7.15,4.65
33184,33185,0.41,Fair,E,SI2,64.7,55,818,4.7,4.67,3.03
24523,24524,2.29,Fair,J,SI1,56.8,66,12811,8.79,8.69,4.96
1423,1424,0.91,Fair,F,SI1,64.9,57,2971,6.13,6.08,3.96
4537,4538,1,Fair,H,SI2,65.1,58,3640,6.27,6.15,4.05
7590,7591,0.91,Fair,E,SI1,65,62,4256,6.09,6.04,3.94
51571,51572,0.91,Fair,J,SI1,66.3,56,2390,5.92,5.99,3.95
49188,49189,0.7,Fair,F,SI2,65.3,55,2075,5.6,5.49,3.62
16602,16603,1.91,Fair,H,SI2,64.6,56,6632,7.76,7.7,4.99
2981,2982,0.96,Fair,G,SI1,69.7,59,3299,6.09,5.9,4.18
14667,14668,1.51,Fair,H,SI2,66.9,57,5919,7.13,7.09,4.75
1412,1413,1.13,Fair,H,I1,64.8,59,2968,6.52,6.42,4.19
14668,14669,1.51,Fair,F,SI2,65.4,56,5919,7.2,7.08,4.67
7591,7592,1.01,Fair,H,SI1,65.3,57,4256,6.33,6.23,4.1
22810,22811,2,Fair,I,SI2,65.9,57,10833,7.96,7.79,5.19
18357,18358,1.51,Fair,E,SI1,67.2,53,7468,7.15,7.1,4.79
42256,42257,0.56,Fair,H,VS2,52.7,70,1293,5.71,5.57,2.97
17529,17530,1.5,Fair,F,SI2,64.7,59,7056,7.13,7.05,4.59
51403,51404,0.7,Fair,F,VS2,65.5,57,2369,5.55,5.41,3.59
9506,9507,1.16,Fair,G,SI1,65.9,55,4612,6.54,6.51,4.3
45627,45628,0.69,Fair,I,VS1,57.9,63,1692,5.73,5.77,3.33
13341,13342,1.46,Fair,G,SI2,64.6,54,5504,7.11,7.03,4.57
1676,1677,1,Fair,G,SI2,64.9,57,3027,6.29,6.2,4.05
1675,1676,1.02,Fair,J,SI1,66.8,55,3027,6.25,6.18,4.15
24380,24381,0.32,Fair,F,SI1,64.4,54,638,4.36,4.33,2.8
23103,23104,1.5,Fair,E,SI1,58.2,66,11128,7.45,7.4,4.32
4658,4659,1.12,Fair,I,SI2,64.6,57,3669,6.5,6.47,4.19
45614,45615,0.7,Fair,J,VVS1,67.6,54,1691,5.56,5.41,3.71
45613,45614,0.69,Fair,G,SI2,65.4,63,1691,5.49,5.43,3.57
1664,1665,0.9,Fair,H,SI1,65.6,57,3024,6.04,6.01,3.95
51199,51200,0.73,Fair,I,VVS2,64.4,59,2351,5.65,5.62,3.63
16408,16409,1.5,Fair,G,SI2,68.5,66,6552,6.87,6.76,4.67
5605,5606,1.01,Fair,D,SI2,64.7,57,3871,6.31,6.27,4.07
11967,11968,1.33,Fair,F,SI2,64.5,58,5139,6.97,6.86,4.46
5620,5621,0.9,Fair,E,VS2,65.2,61,3875,6.01,5.98,3.91
51202,51203,0.7,Fair,H,VS2,67.8,56,2351,5.42,5.38,3.66
5623,5624,1.03,Fair,E,SI2,65.3,59,3876,6.3,6.25,4.1
45605,45606,0.71,Fair,G,SI2,65.6,56,1691,5.54,5.49,3.63
24396,24397,2.11,Fair,G,SI2,65,56,12633,8.06,8.01,5.22
49328,49329,0.7,Fair,D,SI1,66,56,2093,5.45,5.52,3.62
51222,51223,0.71,Fair,E,SI1,64.7,59,2352,5.61,5.58,3.62
51223,51224,0.71,Fair,D,SI1,65.1,59,2352,5.59,5.56,3.63
51225,51226,0.7,Fair,G,SI1,61.7,66,2352,5.7,5.58,3.48
51227,51228,0.7,Fair,D,SI1,64.9,64,2352,5.57,5.5,3.59
14289,14290,1.01,Fair,F,VS2,65.1,59,5784,6.17,6.21,4.03
51230,51231,0.7,Fair,E,VS2,65.6,61,2352,5.62,5.47,3.64
4654,4655,1,Fair,F,SI1,66.7,57,3669,6.07,5.99,4.02
24409,24410,1.32,Fair,F,VVS1,58,66,12648,7.31,7.28,4.23
1682,1683,0.77,Fair,F,VS1,66.8,57,3031,5.66,5.76,3.82
7310,7311,1.01,Fair,D,SI2,65.3,55,4205,6.33,6.19,4.09
43216,43217,0.5,Fair,E,VS2,66.3,55,1397,4.98,4.94,3.29
2820,2821,1,Fair,F,SI2,65.1,55,3265,6.26,6.23,4.07
43217,43218,0.5,Fair,E,VS2,64.9,56,1397,5.01,4.95,3.23
51117,51118,0.97,Fair,F,SI2,67.2,61,2338,6.09,6,4.06
51118,51119,0.7,Fair,G,VS2,65.3,57,2338,5.58,5.47,3.61
5585,5586,1,Fair,F,SI2,65.5,54,3864,6.2,6.16,4.05
51122,51123,0.82,Fair,G,SI1,66.4,54,2339,5.87,5.82,3.88
51124,51125,0.7,Fair,D,SI1,66.5,55,2339,5.51,5.47,3.65
10708,10709,0.96,Fair,F,SI1,60.7,65,4849,6.43,6.28,3.86
23136,23137,2.01,Fair,E,SI2,65.5,56,11156,7.84,7.79,5.12
23135,23136,2,Fair,G,SI2,65.1,54,11156,7.88,7.82,5.11
36573,36574,0.5,Fair,E,SI2,64.7,57,945,4.98,4.88,3.19
30719,30720,0.35,Fair,E,VVS2,66.2,58,738,4.41,4.35,2.9
36572,36573,0.7,Fair,F,I1,63.9,59,945,5.64,5.5,3.57
36570,36571,0.45,Fair,F,VS1,66.9,54,945,4.85,4.75,3.21
23129,23130,1.5,Fair,F,SI1,64.6,60,11154,7.18,7.1,4.61
51139,51140,1.01,Fair,I,I1,56.1,63,2342,6.7,6.65,3.74
10709,10710,1.64,Fair,G,I1,64.5,60,4849,7.44,7.35,4.76
17691,17692,2.27,Fair,G,I1,68.6,56,7131,7.99,7.94,5.47
5594,5595,1.01,Fair,H,SI1,64.5,59,3869,6.27,6.23,4.03
1694,1695,0.92,Fair,I,VS2,64.4,58,3033,6.13,6.1,3.94
5595,5596,1.01,Fair,H,SI1,65.3,61,3869,6.23,6.18,4.05
4668,4669,1.01,Fair,G,SI1,66.1,56,3671,6.26,6.2,4.12
51153,51154,0.62,Fair,E,VS1,58.8,67,2344,5.66,5.57,3.29
40211,40212,0.5,Fair,H,VS2,62.4,69,1122,5.07,4.99,3.14
15938,15939,1.54,Fair,I,SI2,65,56,6375,7.22,7.14,4.67
20102,20103,1.9,Fair,H,SI2,67.1,64,8576,7.57,7.52,5.06
10293,10294,1.02,Fair,H,SI1,65.5,60,4758,6.29,6.22,4.1
23067,23068,1.51,Fair,E,SI1,58.4,70,11102,7.55,7.39,4.36
46890,46891,0.7,Fair,I,VS2,66.1,56,1814,5.53,5.48,3.64
10270,10271,1.01,Fair,D,SI1,66.9,54,4751,6.25,6.21,4.17
2897,2898,0.92,Fair,F,SI2,65.1,58,3282,6.12,6.07,3.97
8342,8343,1.02,Fair,H,SI2,59.6,57,4398,6.65,6.5,3.92
45534,45535,0.81,Fair,H,SI2,66.2,58,1687,5.78,5.74,3.81
49287,49288,0.7,Fair,E,SI2,64.6,53,2092,5.58,5.63,3.62
5685,5686,1.01,Fair,J,VS2,59.6,62,3886,6.54,6.49,3.88
20174,20175,1.5,Fair,G,SI1,65.5,58,8627,7.16,7.12,4.68
17628,17629,1.5,Fair,H,SI2,59.3,58,7098,7.31,7.37,4.35
51342,51343,0.79,Fair,G,SI1,65.3,76,2362,5.52,5.13,3.35
10266,10267,1.01,Fair,D,SI1,64.6,60,4751,6.12,6.08,3.94
51348,51349,0.75,Fair,F,SI1,64.5,60,2363,5.65,5.54,3.61
8009,8010,1,Fair,F,SI1,67.1,57,4328,6.06,6.1,4.08
12005,12006,1.01,Fair,D,SI1,64.4,61,5147,6.17,6.13,3.96
4601,4602,0.96,Fair,H,VS2,68.8,56,3658,6.11,5.98,4.16
15920,15921,1.01,Fair,D,VS2,65.3,58,6366,6.29,6.24,4.09
15918,15919,1.01,Fair,F,VS1,64.6,60,6366,6.26,6.16,4.01
1554,1555,1.01,Fair,D,SI2,64.6,56,3003,6.31,6.24,4.05
5698,5699,1,Fair,E,SI2,56.9,63,3889,6.54,6.49,3.71
1552,1553,0.73,Fair,F,VS1,58.6,66,3002,5.92,5.88,3.46
17619,17620,1.16,Fair,F,VS1,57.8,67,7094,6.97,6.84,3.99
10258,10259,1.01,Fair,H,VS2,64.5,60,4751,6.3,6.25,4.05
2913,2914,0.94,Fair,H,SI1,68.4,53,3285,6.05,5.97,4.11
10257,10258,1.01,Fair,D,SI1,63.5,58,4751,6.35,6.25,4
22958,22959,1.5,Fair,H,VS1,61.7,60,11007,7.37,7.27,4.52
8351,8352,1.04,Fair,D,SI2,64.9,56,4398,6.39,6.34,4.13
51391,51392,0.71,Fair,D,VS2,55.6,73,2368,6.01,5.96,3.33
51360,51361,0.72,Fair,D,SI1,65.6,60,2364,5.62,5.54,3.66
7567,7568,0.9,Fair,D,SI1,63.8,61,4252,6.07,5.99,3.85
2893,2894,0.92,Fair,F,SI2,65.3,58,3282,6.08,6.04,3.96
8012,8013,1.03,Fair,I,VS1,57.6,58,4328,6.67,6.58,3.81
13327,13328,1.01,Fair,F,VS2,65.5,62,5501,6.19,6.23,4.07
39060,39061,0.7,Fair,H,I1,66.5,57,1058,5.51,5.4,3.64
33114,33115,0.34,Fair,F,VS2,64.7,55,816,4.52,4.41,2.89
51258,51259,0.97,Fair,I,I1,67.3,55,2357,6.08,6.02,4.07
38442,38443,0.45,Fair,G,VS1,66.3,56,1027,4.82,4.65,3.14
36503,36504,0.3,Fair,E,VVS2,51,67,945,4.67,4.62,2.37
5652,5653,1.26,Fair,H,SI2,64.9,60,3881,6.7,6.62,4.32
2873,2874,0.9,Fair,E,VS1,67.6,56,3276,5.94,5.9,4
43234,43235,0.5,Fair,E,VS2,65.4,57,1397,5.01,4.81,3.21
51267,51268,0.7,Fair,D,SI2,58.1,60,2358,5.79,5.82,3.37
51268,51269,0.82,Fair,H,SI2,65.1,58,2358,5.86,5.81,3.8
11989,11990,1.01,Fair,F,SI1,57.9,57,5144,6.53,6.57,3.79
1608,1609,1,Fair,E,SI2,55.4,62,3011,6.63,6.59,3.66
26732,26733,2.1,Fair,F,SI2,59.5,69,16506,8.35,8.25,4.94
51277,51278,0.84,Fair,I,VS2,65.1,57,2359,5.91,5.85,3.83
46910,46911,0.56,Fair,F,VS2,57,67,1814,5.49,5.36,3.09
51279,51280,0.78,Fair,G,SI1,64.6,56,2359,5.86,5.79,3.76
18292,18293,1.52,Fair,H,SI1,64.6,55,7433,7.24,7.19,4.66
1599,1600,1.2,Fair,I,I1,66.2,55,3011,6.61,6.51,4.34
1598,1599,1.2,Fair,I,I1,62.2,66,3011,6.77,6.7,4.2
1597,1598,1.2,Fair,J,I1,64.9,59,3011,6.61,6.54,4.27
2882,2883,0.91,Fair,H,SI1,65.3,62,3278,6.11,6.01,3.96
8014,8015,1.5,Fair,I,SI2,70.1,58,4328,6.96,6.85,4.84
23020,23021,0.3,Fair,E,VS2,66.7,59,630,4.23,4.05,2.78
2884,2885,1.01,Fair,I,SI1,65.5,58,3280,6.28,6.24,4.1
39077,39078,0.59,Fair,H,SI2,64.5,57,1059,5.37,5.16,3.42
2890,2891,0.9,Fair,H,SI1,61.4,61,3282,6.08,6.14,3.75
34581,34582,0.5,Fair,E,SI2,68.6,56,871,4.87,4.75,3.3
2819,2820,1,Fair,F,SI2,65.1,55,3265,6.26,6.23,4.07
1364,1365,0.9,Fair,J,VS1,64.6,58,2964,6.12,6.06,3.93
1362,1363,1.5,Fair,H,I1,65.6,54,2964,7.26,7.09,4.7
6029,6030,1,Fair,D,SI2,65,56,3965,6.27,6.23,4.06
20441,20442,1.51,Fair,G,VS2,56,65,8794,7.68,7.57,4.27
20444,20445,1.51,Fair,G,SI2,65.5,55,8794,7.14,7.08,4.66
16631,16632,1.01,Fair,F,VS1,61.7,61,6651,6.6,6.49,4.04
22516,22517,1.51,Fair,G,VS2,58.1,67,10553,7.59,7.49,4.38
41563,41564,0.51,Fair,E,SI1,64.8,58,1237,5.07,5.02,3.27
47230,47231,0.7,Fair,H,SI1,66,56,1840,5.5,5.53,3.64
40591,40592,0.3,Fair,F,SI1,63.1,58,496,4.3,4.22,2.69
30374,30375,0.3,Fair,F,VS2,56.3,64,729,4.44,4.39,2.5
47232,47233,0.71,Fair,I,VS2,61.6,67,1840,5.76,5.61,3.5
15528,15529,1.32,Fair,E,SI2,65.2,58,6221,6.86,6.79,4.45
1098,1099,1,Fair,H,SI2,67,55,2912,6.25,6.12,4.16
52092,52093,0.71,Fair,F,SI1,59.8,70,2458,5.89,5.72,3.48
1097,1098,1,Fair,I,SI1,66,56,2912,6.31,6.24,4.13
39306,39307,0.7,Fair,G,I1,60.4,58,1069,5.74,5.68,3.45
39307,39308,0.7,Fair,G,I1,67.5,55,1069,5.59,5.37,3.71
39308,39309,0.7,Fair,G,I1,62.5,59,1069,5.65,5.48,3.48
39309,39310,0.5,Fair,F,SI1,64.7,60,1069,4.99,4.84,3.18
3170,3171,0.99,Fair,I,SI1,60.7,66,3337,6.42,6.34,3.87
45066,45067,0.67,Fair,F,SI1,56,67,1642,5.81,5.78,3.25
45061,45062,0.58,Fair,E,SI1,64.4,57,1641,5.26,5.24,3.38
45057,45058,0.62,Fair,F,SI1,55.1,66,1641,5.85,5.7,3.18
20459,20460,1.71,Fair,I,SI2,65.1,60,8800,7.5,7.46,4.87
39318,39319,0.46,Fair,E,VS2,66.8,61,1070,4.84,4.71,3.2
20462,20463,2.74,Fair,J,I1,64.9,61,8807,8.76,8.66,5.65
42795,42796,0.5,Fair,G,VS1,65.8,57,1350,5.03,4.91,3.27
1096,1097,1,Fair,H,SI2,65.2,54,2912,6.3,6.22,4.08
13796,13797,1.19,Fair,H,SI1,64.4,58,5622,6.69,6.64,4.29
48942,48943,0.71,Fair,G,SI1,65,58,2045,5.57,5.53,3.61
26431,26432,3.4,Fair,D,I1,66.8,52,15964,9.42,9.34,6.27
13171,13172,1.2,Fair,F,SI2,63.4,60,5445,6.56,6.65,4.19
13775,13776,1.7,Fair,D,I1,64.7,56,5617,7.46,7.37,4.8
7213,7214,1.01,Fair,H,SI1,64.6,55,4191,6.29,6.25,4.05
22572,22573,1.52,Fair,G,VS2,55.2,66,10623,7.72,7.67,4.26
40139,40140,0.7,Fair,G,I1,64.6,59,1115,5.64,5.48,3.6
37395,37396,0.46,Fair,F,VS2,66,58,982,4.9,4.76,3.19
45124,45125,0.85,Fair,G,I1,62.7,60,1651,6.05,5.96,3.77
45123,45124,0.77,Fair,D,SI2,65.1,63,1651,5.71,5.65,3.7
15849,15850,1.5,Fair,H,SI1,68,59,6340,7.12,6.82,4.76
32470,32471,0.45,Fair,F,SI1,57.9,66,794,5.08,4.98,2.91
19276,19277,1.52,Fair,H,SI1,65.3,58,8001,7.14,7.1,4.65
32469,32470,0.45,Fair,F,SI1,66.8,59,794,4.79,4.63,3.16
22524,22525,1,Fair,D,VVS2,61.1,57,10562,6.37,6.3,3.87
1140,1141,0.9,Fair,I,VS2,64.1,66,2921,6.04,5.98,3.85
17415,17416,1.51,Fair,J,SI1,63.4,60,6976,7.31,7.18,4.59
10109,10110,1.17,Fair,H,SI2,60,66,4717,6.86,6.78,4.09
7954,7955,1.45,Fair,F,I1,64.8,67,4320,7.16,7,4.64
3148,3149,0.9,Fair,E,SI1,65,61,3332,6.05,6.02,3.92
20424,20425,1.49,Fair,F,SI1,59.6,63,8779,7.2,7.34,4.33
3151,3152,0.98,Fair,G,SI2,66.6,56,3332,6.12,6.02,4.04
6020,6021,1,Fair,G,SI1,68.3,61,3965,6.02,5.93,4.08
12186,12187,1.01,Fair,E,SI1,56.8,61,5185,6.59,6.62,3.75
22540,22541,3.02,Fair,I,I1,65.2,56,10577,9.11,9.02,5.91
41576,41577,0.5,Fair,G,VS2,65.1,56,1238,5.02,4.99,3.26
12190,12191,1.05,Fair,F,SI1,64.6,57,5186,6.39,6.33,4.11
6025,6026,1,Fair,G,SI1,65.2,62,3965,6.19,6.08,4.01
43373,43374,0.71,Fair,J,SI2,65.5,61,1409,5.54,5.49,3.61
41547,41548,0.63,Fair,H,SI2,64.7,61,1235,5.33,5.27,3.43
6060,6061,1,Fair,D,SI2,66.5,59,3965,6.24,6.21,4.14
45036,45037,0.96,Fair,H,I1,61.5,63,1637,6.22,6.06,3.78
7627,7628,1.01,Fair,I,VS1,64.9,58,4263,6.17,6.22,4.02
52282,52283,0.85,Fair,I,SI1,65.8,65,2493,5.88,5.79,3.84
19234,19235,1.5,Fair,G,SI2,64.7,55,7972,7.16,7.13,4.62
13807,13808,1.35,Fair,H,VS2,64.5,58,5625,6.98,6.93,4.48
7929,7930,1.01,Fair,F,SI2,65.3,59,4317,6.28,6.24,4.09
6117,6118,1.08,Fair,J,VS2,65.1,54,3980,6.47,6.44,4.2
7631,7632,1,Fair,E,SI2,65.9,62,4265,6.09,6.02,3.99
40419,40420,0.7,Fair,F,I1,64.9,59,1134,5.58,5.53,3.61
9203,9204,0.91,Fair,E,VS2,61.8,66,4550,6.11,6.09,3.77
6125,6126,1.21,Fair,J,SI2,64.6,59,3984,6.74,6.64,4.32
42775,42776,0.5,Fair,F,VS1,62.9,68,1348,5.02,4.96,3.14
4327,4328,1.01,Fair,F,SI2,66.7,64,3597,6.14,6.05,4.06
3214,3215,1,Fair,I,SI2,65.8,58,3348,6.23,6.27,4.11
3238,3239,0.94,Fair,H,SI2,66,50.1,3353,6.13,6.17,4.06
44938,44939,0.68,Fair,G,SI1,58,71,1633,5.85,5.7,3.35
4326,4327,1.01,Fair,F,SI2,67.3,62,3597,6.09,6.03,4.08
4325,4326,1.01,Fair,I,VS2,68.7,58,3597,6.14,6,4.19
52344,52345,0.72,Fair,E,SI1,56.9,61,2498,5.91,5.97,3.38
4322,4323,1.01,Fair,F,SI2,60.1,66,3597,6.44,6.41,3.86
52351,52352,0.7,Fair,H,VVS2,65.8,58,2500,5.49,5.42,3.59
7171,7172,0.9,Fair,F,VS1,66.2,55,4183,6.11,5.97,4
8508,8509,1.35,Fair,I,SI2,66.5,57,4423,6.79,6.74,4.5
22329,22330,1.5,Fair,D,SI1,65.1,59,10374,7.1,7.01,4.59
41505,41506,0.5,Fair,G,VS1,66.5,58,1234,4.99,4.9,3.29
44921,44922,0.73,Fair,F,SI2,64.7,56,1631,5.6,5.53,3.6
19218,19219,1.02,Fair,F,VVS1,64.6,59,7960,6.31,6.26,4.06
15815,15816,2.14,Fair,H,I1,66.4,56,6328,8,7.92,5.29
43398,43399,0.64,Fair,I,VS2,55.3,69,1411,5.85,5.69,3.19
22379,22380,0.31,Fair,G,VVS2,65.5,58,629,4.25,4.24,2.78
1019,1020,0.71,Fair,E,VS2,64.6,59,2902,5.62,5.59,3.62
26388,26389,2.01,Fair,H,VS2,66.1,53,15888,7.82,7.92,5.2
22460,22461,2,Fair,I,SI2,67.7,57,10483,7.88,7.64,5.26
22458,22459,2,Fair,I,SI2,65.2,59,10483,7.74,7.69,5.03
18461,18462,1.51,Fair,H,SI1,55.8,61,7509,7.72,7.63,4.28
39326,39327,0.51,Fair,G,SI1,65.2,55,1071,5.04,5.02,3.28
20476,20477,1.52,Fair,H,SI1,61.2,60,8818,7.39,7.29,4.49
52191,52192,0.7,Fair,G,VS2,64.9,57,2479,5.55,5.54,3.6
16637,16638,2.25,Fair,H,I1,67.7,58,6653,8.01,7.97,5.41
8484,8485,1.01,Fair,G,SI1,65.3,58,4417,6.14,6.2,4.03
48884,48885,1.04,Fair,I,I1,67.3,56,2037,6.34,6.23,4.22
3190,3191,0.9,Fair,E,SI2,64.5,57,3342,6.13,6.09,3.94
