,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
40499,40500,0.42,Premium,H,VVS1,62.0,58.0,1142,4.82,4.79,2.98
40500,40501,0.37,Premium,D,VVS1,61.4,58.0,1142,4.65,4.63,2.85
40501,40502,0.42,Ideal,H,VVS1,62.4,55.0,1142,4.8,4.79,2.99
40502,40503,0.43,Very Good,G,VVS1,60.7,57.0,1143,4.87,4.89,2.96
40503,40504,0.41,Very Good,F,VVS1,63.3,55.0,1143,4.7,4.74,2.99
40504,40505,0.47,Premium,H,VS1,61.8,58.0,1143,4.94,4.99,3.07
40505,40506,0.44,Ideal,G,VVS1,61.3,55.0,1143,4.92,4.94,3.02
40506,40507,0.61,Ideal,J,SI1,62.0,55.0,1143,5.45,5.48,3.39
40507,40508,0.54,Premium,J,VS2,62.6,58.0,1143,5.22,5.16,3.25
40508,40509,0.56,Very Good,H,SI2,59.5,57.0,1144,5.4,5.43,3.22
40509,40510,0.41,Ideal,E,VS1,61.2,56.0,1144,4.82,4.89,2.97
40510,40511,0.45,Good,F,VS1,58.6,62.2,1144,5.0,5.05,2.95
40511,40512,0.45,Good,F,VS1,57.6,62.5,1144,5.05,5.09,2.91
40512,40513,0.55,Very Good,E,SI2,59.6,57.0,1145,5.34,5.39,3.2
40513,40514,0.4,Good,F,VVS1,63.3,57.0,1145,4.68,4.7,2.97
40514,40515,0.5,Good,F,SI1,57.9,62.0,1145,5.18,5.21,3.01
40515,40516,0.4,Ideal,E,VVS2,61.6,56.0,1145,4.74,4.77,2.93
40516,40517,0.44,Ideal,I,VVS1,60.9,56.0,1145,4.9,4.96,3.0
40517,40518,0.48,Ideal,G,SI1,61.6,55.0,1145,5.06,5.1,3.13
40518,40519,0.37,Ideal,D,VVS2,61.6,56.0,1145,4.65,4.61,2.85
40519,40520,0.37,Premium,D,VVS2,61.0,60.0,1145,4.64,4.61,2.82
40520,40521,0.52,Very Good,E,SI2,61.1,57.0,1146,5.2,5.24,3.19
40521,40522,0.51,Good,D,SI2,64.2,56.0,1146,5.02,5.05,3.23
40522,40523,0.51,Ideal,F,SI2,61.3,57.0,1146,5.16,5.19,3.17
40523,40524,0.52,Ideal,E,SI2,61.8,57.0,1146,5.14,5.18,3.19
40524,40525,0.5,Very Good,F,SI2,62.4,56.0,1147,5.08,5.12,3.18
40525,40526,0.58,Very Good,J,VS2,59.5,62.0,1147,5.41,5.44,3.23
40526,40527,0.5,Good,E,SI1,64.0,56.0,1147,5.03,4.9,3.18
40527,40528,0.52,Good,G,SI1,64.3,61.0,1147,5.01,4.97,3.21
40528,40529,0.54,Ideal,I,VS1,61.5,56.0,1147,5.24,5.26,3.23
40529,40530,0.54,Ideal,H,SI1,62.5,56.0,1147,5.2,5.23,3.26
40530,40531,0.7,Fair,I,I1,68.6,57.0,1147,5.46,5.34,3.71
40531,40532,0.72,Fair,G,I1,65.1,57.0,1147,5.65,5.55,3.65
40532,40533,0.5,Very Good,H,SI1,60.0,55.0,1148,5.2,5.23,3.13
40533,40534,0.38,Premium,G,IF,62.5,60.0,1148,4.61,4.64,2.89
40534,40535,0.43,Ideal,F,VVS2,61.5,55.0,1148,4.85,4.88,2.99
40535,40536,0.39,Ideal,F,VVS1,61.7,57.0,1148,4.68,4.71,2.89
40536,40537,0.51,Ideal,G,SI2,62.1,56.0,1148,5.1,5.13,3.18
40537,40538,0.34,Ideal,F,IF,60.7,57.0,1148,4.53,4.5,2.74
40538,40539,0.36,Premium,G,IF,62.5,60.0,1148,4.53,4.49,2.82
40539,40540,0.36,Premium,G,IF,61.0,59.0,1148,4.6,4.55,2.79
40540,40541,0.36,Ideal,G,IF,61.6,55.0,1148,4.59,4.57,2.82
40541,40542,0.41,Premium,G,VVS1,59.7,60.0,1148,4.85,4.83,2.89
40542,40543,0.35,Premium,E,IF,59.0,61.0,1148,4.64,4.62,2.73
40543,40544,0.61,Very Good,J,SI1,60.8,58.0,1149,5.46,5.49,3.33
40544,40545,0.55,Very Good,I,SI1,63.6,57.0,1149,5.15,5.19,3.29
40545,40546,0.45,Good,D,VS2,63.7,61.0,1149,4.81,4.73,3.04
40546,40547,0.42,Ideal,G,VVS1,61.9,56.0,1150,4.8,4.85,2.98
40547,40548,0.52,Ideal,G,SI2,61.3,56.0,1150,5.19,5.22,3.19
40548,40549,0.41,Good,F,VVS2,59.2,63.0,1150,4.82,4.87,2.87
40549,40550,0.4,Ideal,E,VS2,61.4,57.0,1150,4.78,4.75,2.92
40550,40551,0.57,Very Good,I,SI1,61.1,61.0,1151,5.34,5.37,3.27
40551,40552,0.41,Ideal,D,VS1,61.3,54.0,1151,4.8,4.83,2.95
40552,40553,0.41,Ideal,F,IF,62.2,54.0,1151,4.76,4.79,2.97
40553,40554,0.41,Very Good,D,VS1,62.9,57.0,1151,4.73,4.75,2.98
40554,40555,0.41,Ideal,G,VVS1,61.7,55.0,1151,4.77,4.79,2.95
40555,40556,0.41,Ideal,D,VS1,61.0,57.0,1151,4.78,4.82,2.93
40556,40557,0.41,Ideal,D,VS1,61.8,57.0,1151,4.75,4.8,2.95
40557,40558,0.41,Ideal,G,VVS1,62.0,56.0,1151,4.78,4.8,2.97
40558,40559,0.41,Very Good,G,VVS1,60.0,59.0,1151,4.83,4.84,2.9
40559,40560,0.41,Very Good,G,VVS1,60.3,60.0,1151,4.74,4.78,2.87
40560,40561,0.41,Very Good,D,VS1,62.8,57.0,1151,4.73,4.76,2.98
40561,40562,0.41,Ideal,G,VVS1,61.8,55.0,1151,4.76,4.78,2.95
40562,40563,0.41,Very Good,G,VVS1,61.0,61.0,1151,4.72,4.75,2.89
40563,40564,0.41,Ideal,D,VS1,62.1,56.0,1151,4.77,4.8,2.97
40564,40565,0.41,Ideal,G,VVS1,62.1,55.0,1151,4.74,4.79,2.96
40565,40566,0.41,Premium,G,VVS1,59.9,59.0,1151,4.79,4.83,2.88
40566,40567,0.52,Ideal,J,VS2,61.4,57.0,1151,5.17,5.21,3.19
40567,40568,0.57,Ideal,H,SI2,61.5,55.0,1151,5.35,5.38,3.3
40568,40569,0.43,Ideal,H,IF,61.9,55.0,1151,4.87,4.89,3.02
40569,40570,0.52,Ideal,G,SI2,63.0,55.0,1151,5.14,5.12,3.23
40570,40571,0.52,Very Good,G,SI2,63.1,56.0,1151,5.12,5.08,3.22
40571,40572,0.4,Ideal,D,VVS2,61.4,56.0,1152,4.8,4.75,2.93
40572,40573,0.4,Premium,D,VVS2,58.3,59.0,1152,4.9,4.88,2.85
40573,40574,0.53,Very Good,H,SI1,61.7,60.0,1152,5.17,5.21,3.2
40574,40575,0.48,Premium,E,SI1,60.4,62.0,1152,5.07,5.03,3.05
40575,40576,0.52,Ideal,I,VS2,62.3,54.0,1152,5.17,5.2,3.23
40576,40577,0.52,Ideal,I,VS2,61.8,54.0,1152,5.16,5.2,3.2
40577,40578,0.5,Very Good,G,SI1,62.4,52.0,1153,5.1,5.15,3.2
40578,40579,0.5,Very Good,G,SI1,62.3,58.0,1153,5.06,5.08,3.16
40579,40580,0.54,Ideal,G,SI2,60.4,59.0,1153,5.24,5.29,3.18
40580,40581,0.5,Ideal,G,SI1,62.1,57.0,1153,5.05,5.09,3.15
40581,40582,0.4,Ideal,H,IF,61.9,56.0,1153,4.72,4.75,2.93
40582,40583,0.41,Premium,E,VS1,60.7,58.0,1153,4.83,4.79,2.92
40583,40584,0.41,Premium,E,VS1,59.8,61.0,1153,4.85,4.79,2.88
40584,40585,0.41,Premium,E,VS1,60.0,58.0,1153,4.83,4.8,2.89
40585,40586,0.41,Premium,E,VS1,60.1,58.0,1153,4.84,4.81,2.9
40586,40587,0.41,Premium,E,VS1,59.9,58.0,1153,4.88,4.83,2.91
40587,40588,0.41,Ideal,E,VS1,61.4,57.0,1153,4.82,4.79,2.95
40588,40589,0.41,Premium,E,VS1,60.6,59.0,1153,4.8,4.77,2.9
40589,40590,0.41,Premium,E,VS1,61.9,59.0,1153,4.8,4.77,2.96
40590,40591,0.29,Ideal,F,SI2,60.6,59.0,496,4.31,4.37,2.63
40591,40592,0.3,Fair,F,SI1,63.1,58.0,496,4.3,4.22,2.69
40592,40593,0.28,Ideal,I,VVS2,62.2,55.0,497,4.21,4.24,2.63
40593,40594,0.28,Ideal,G,VS2,62.2,54.0,497,4.21,4.24,2.63
40594,40595,0.28,Ideal,H,VS1,62.0,55.0,497,4.21,4.24,2.62
40595,40596,0.28,Ideal,H,VS1,61.8,57.0,497,4.2,4.22,2.6
40596,40597,0.37,Ideal,J,SI1,60.5,57.0,497,4.63,4.66,2.81
40597,40598,0.34,Fair,J,SI1,64.5,57.0,497,4.38,4.36,2.82
40598,40599,0.3,Premium,G,SI1,62.5,61.0,497,4.29,4.26,2.67
40599,40600,0.38,Ideal,F,I1,62.5,57.0,497,4.61,4.64,2.89
40600,40601,0.32,Very Good,F,SI1,60.7,62.0,497,4.4,4.43,2.68
40601,40602,0.23,Very Good,F,VVS2,61.7,55.0,498,3.99,4.05,2.48
40602,40603,0.23,Very Good,E,VVS2,63.0,58.0,498,3.92,3.95,2.48
40603,40604,0.23,Very Good,E,VVS2,60.7,58.0,498,3.96,4.01,2.42
40604,40605,0.24,Ideal,G,VVS2,61.2,56.0,498,3.99,4.02,2.45
40605,40606,0.29,Ideal,H,VS2,62.8,55.0,498,4.24,4.27,2.67
40606,40607,0.23,Ideal,F,VS2,60.9,57.0,498,3.96,3.99,2.42
40607,40608,0.23,Ideal,F,VS2,61.5,55.0,498,3.93,3.97,2.43
40608,40609,0.23,Ideal,F,VS2,61.9,55.0,498,3.94,3.97,2.45
40609,40610,0.29,Ideal,H,VS1,61.8,57.0,498,4.27,4.31,2.64
40610,40611,0.31,Ideal,I,SI1,62.1,53.0,498,4.34,4.36,2.7
40611,40612,0.33,Ideal,G,SI1,61.6,56.0,498,4.43,4.46,2.74
40612,40613,0.27,Good,F,VVS1,61.7,61.0,498,4.1,4.14,2.54
40613,40614,0.25,Good,E,VVS1,61.4,62.0,498,4.03,4.05,2.48
40614,40615,0.23,Good,E,VVS1,56.3,62.0,498,4.1,4.11,2.31
40615,40616,0.33,Very Good,J,VVS2,62.1,56.0,499,4.44,4.45,2.76
40616,40617,0.24,Very Good,D,VVS2,60.1,57.0,499,4.03,4.09,2.44
40617,40618,0.26,Very Good,F,VS2,61.4,56.0,499,4.09,4.12,2.53
40618,40619,0.26,Very Good,F,VS1,61.9,57.0,499,4.11,4.14,2.55
40619,40620,0.26,Very Good,F,VS1,60.4,56.0,499,4.14,4.16,2.51
40620,40621,0.41,Ideal,E,VS1,62.1,55.0,1153,4.8,4.77,2.97
40621,40622,0.41,Premium,E,VS1,60.8,59.0,1153,4.82,4.76,2.91
40622,40623,0.41,Ideal,E,VS1,62.0,54.0,1153,4.79,4.76,2.96
40623,40624,0.41,Ideal,E,VS1,61.7,57.0,1153,4.8,4.76,2.95
40624,40625,0.41,Ideal,E,VS1,61.9,55.0,1153,4.8,4.76,2.96
40625,40626,0.41,Ideal,E,VS1,60.9,57.0,1153,4.79,4.76,2.91
40626,40627,0.41,Ideal,E,VS1,61.8,57.0,1153,4.79,4.76,2.95
40627,40628,0.41,Premium,E,VS1,61.2,58.0,1153,4.78,4.76,2.92
40628,40629,0.41,Premium,E,VS1,62.2,57.0,1153,4.78,4.74,2.96
40629,40630,0.41,Ideal,E,VS1,61.7,55.0,1153,4.78,4.75,2.94
40630,40631,0.41,Ideal,E,VS1,62.1,56.0,1153,4.78,4.75,2.96
40631,40632,0.41,Ideal,E,VS1,62.1,55.0,1153,4.78,4.75,2.96
40632,40633,0.41,Ideal,E,VS1,61.8,55.0,1153,4.8,4.75,2.95
40633,40634,0.41,Ideal,E,VS1,62.0,55.0,1153,4.77,4.74,2.95
40634,40635,0.41,Ideal,E,VS1,62.3,57.0,1153,4.77,4.74,2.96
40635,40636,0.41,Premium,E,VS1,62.0,60.0,1153,4.78,4.74,2.95
40636,40637,0.41,Premium,E,VS1,62.3,59.0,1153,4.76,4.74,2.96
40637,40638,0.41,Premium,E,VS1,62.0,57.0,1153,4.77,4.74,2.95
40638,40639,0.41,Premium,E,VS1,62.8,58.0,1153,4.72,4.7,2.96
40639,40640,0.41,Premium,E,VS1,61.8,58.0,1153,4.75,4.73,2.93
40640,40641,0.41,Ideal,E,VS1,62.7,57.0,1153,4.76,4.72,2.97
40641,40642,0.41,Ideal,E,VS1,62.7,55.0,1153,4.76,4.72,2.97
40642,40643,0.41,Premium,E,VS1,60.4,58.0,1153,4.82,4.78,2.9
40643,40644,0.42,Very Good,F,VVS1,63.0,59.0,1154,4.75,4.81,3.01
40644,40645,0.45,Very Good,G,VS1,60.0,57.1,1154,4.99,5.03,3.0
40645,40646,0.4,Very Good,G,IF,61.0,59.0,1154,4.75,4.79,2.91
40646,40647,0.54,Ideal,F,SI2,61.1,56.0,1154,5.22,5.26,3.2
40647,40648,0.5,Very Good,E,SI2,62.4,57.0,1154,5.03,5.07,3.15
40648,40649,0.54,Premium,F,SI2,59.6,60.0,1154,5.25,5.28,3.14
40649,40650,0.5,Ideal,E,SI2,62.5,57.0,1154,5.04,5.07,3.16
40650,40651,0.5,Very Good,E,SI2,61.3,56.0,1154,5.08,5.13,3.13
40651,40652,0.54,Ideal,H,SI1,62.2,56.0,1154,5.19,5.26,3.25
40652,40653,0.54,Premium,H,SI1,61.0,58.0,1154,5.23,5.27,3.2
40653,40654,0.54,Ideal,H,SI1,61.0,56.0,1154,5.24,5.28,3.21
40654,40655,0.5,Ideal,E,SI2,61.4,57.0,1154,5.09,5.14,3.14
40655,40656,0.5,Very Good,E,SI2,61.4,58.0,1154,5.09,5.11,3.13
40656,40657,0.5,Very Good,E,SI2,61.7,58.0,1154,5.06,5.12,3.14
40657,40658,0.54,Good,H,SI1,63.3,57.0,1154,5.15,5.22,3.28
40658,40659,0.5,Premium,E,SI2,59.5,59.0,1154,5.16,5.19,3.08
40659,40660,0.38,Ideal,E,VVS1,61.5,56.0,1154,4.67,4.7,2.88
40660,40661,0.38,Ideal,E,VVS1,62.3,56.0,1154,4.64,4.67,2.9
40661,40662,0.41,Ideal,E,VS1,60.8,56.0,1154,4.84,4.8,2.93
40662,40663,0.5,Ideal,H,SI1,62.2,53.0,1154,5.06,5.14,3.17
40663,40664,0.51,Ideal,H,SI1,59.8,57.0,1154,5.22,5.25,3.13
40664,40665,0.39,Ideal,G,IF,61.7,55.0,1154,4.68,4.72,2.9
40665,40666,0.45,Good,G,VS1,58.1,61.2,1154,5.02,5.07,2.93
40666,40667,0.31,Ideal,F,IF,60.2,57.0,1155,4.38,4.44,2.65
40667,40668,0.44,Ideal,G,VVS2,61.8,56.0,1155,4.94,4.9,3.04
40668,40669,0.44,Premium,G,VVS2,60.9,57.0,1155,4.93,4.89,2.99
40669,40670,0.44,Premium,G,VVS2,61.3,60.0,1155,4.94,4.88,3.01
40670,40671,0.44,Premium,F,VS1,61.9,59.0,1155,4.88,4.84,3.01
40671,40672,0.44,Premium,F,VS1,61.2,61.0,1155,4.88,4.83,2.97
40672,40673,0.44,Ideal,E,VS1,61.5,56.0,1155,4.92,4.9,3.02
40673,40674,0.5,Fair,H,VS1,66.5,60.0,1155,4.93,4.85,3.25
40674,40675,0.5,Premium,E,SI1,61.4,58.0,1155,5.17,5.09,3.15
40675,40676,0.5,Premium,E,SI1,62.3,60.0,1155,5.16,5.08,3.19
40676,40677,0.5,Good,E,SI1,64.0,56.0,1155,5.03,4.97,3.2
40677,40678,0.5,Good,E,SI1,64.2,59.0,1155,5.03,4.97,3.21
40678,40679,0.4,Premium,G,VVS1,60.3,58.0,1155,4.83,4.79,2.9
40679,40680,0.5,Premium,E,SI1,62.4,58.0,1155,5.06,5.01,3.14
40680,40681,0.44,Ideal,D,VS2,60.4,56.0,1155,4.95,4.91,2.98
40681,40682,0.5,Good,E,SI1,64.0,57.0,1155,5.04,4.99,3.21
40682,40683,0.5,Very Good,E,SI1,63.4,58.0,1155,5.09,5.01,3.2
40683,40684,0.5,Premium,E,SI1,61.4,59.0,1155,5.09,5.01,3.1
40684,40685,0.5,Good,E,SI1,63.7,59.0,1155,5.07,5.01,3.21
40685,40686,0.53,Good,E,SI1,63.6,56.0,1156,5.19,5.1,3.27
40686,40687,0.46,Premium,E,VS2,61.3,57.0,1156,5.02,4.99,3.07
40687,40688,0.5,Fair,F,SI2,61.1,67.0,1156,5.07,5.04,3.09
40688,40689,0.5,Premium,H,SI1,59.0,59.0,1156,5.22,5.18,3.07
40689,40690,0.58,Fair,D,SI2,65.1,58.0,1156,5.25,5.22,3.41
40690,40691,0.38,Very Good,E,VVS2,59.7,63.0,1157,4.71,4.73,2.82
40691,40692,0.5,Good,D,SI2,63.4,59.0,1157,5.0,5.03,3.18
40692,40693,0.5,Good,D,SI2,63.2,56.0,1157,5.01,5.05,3.18
40693,40694,0.41,Ideal,F,VVS1,62.3,56.0,1157,4.77,4.79,2.98
40694,40695,0.46,Good,F,VS1,56.5,61.0,1157,5.11,5.05,2.87
40695,40696,0.4,Ideal,E,VVS2,61.5,56.0,1158,4.74,4.79,2.93
40696,40697,0.4,Ideal,E,VVS2,61.8,56.0,1158,4.74,4.77,2.94
40697,40698,0.4,Ideal,E,VVS2,62.2,56.0,1158,4.71,4.78,2.95
40698,40699,0.4,Ideal,E,VVS2,61.7,56.0,1158,4.73,4.77,2.93
40699,40700,0.4,Ideal,E,VVS2,61.7,55.0,1158,4.74,4.76,2.93
40700,40701,0.4,Ideal,E,VVS2,62.1,55.0,1158,4.74,4.76,2.95
40701,40702,0.44,Very Good,E,VS1,60.7,58.0,1158,4.88,4.91,2.97
40702,40703,0.4,Ideal,H,IF,62.7,57.0,1158,4.68,4.7,2.94
40703,40704,0.4,Ideal,E,VVS2,62.1,56.0,1158,4.7,4.73,2.93
40704,40705,0.4,Ideal,E,VVS2,61.8,55.0,1158,4.74,4.78,2.94
40705,40706,0.58,Ideal,I,SI2,61.3,56.0,1158,5.38,5.45,3.32
40706,40707,0.52,Ideal,D,SI2,61.0,56.0,1158,5.17,5.22,3.17
40707,40708,0.7,Fair,F,I1,65.9,57.0,1158,5.64,5.5,3.67
40708,40709,0.73,Fair,F,I1,66.9,54.0,1158,5.62,5.54,3.74
40709,40710,0.43,Premium,D,VVS2,59.5,59.0,1159,4.95,4.97,2.95
40710,40711,0.38,Good,D,VVS1,61.3,61.0,1159,4.68,4.72,2.88
40711,40712,0.62,Premium,H,SI2,61.0,62.0,1159,5.47,5.42,3.32
40712,40713,0.53,Premium,H,SI1,61.2,60.0,1159,5.22,5.1,3.16
40713,40714,0.41,Very Good,D,VVS2,62.5,54.0,1160,4.79,4.81,3.0
40714,40715,0.41,Very Good,E,VS1,63.4,55.0,1160,4.7,4.73,2.99
40715,40716,0.59,Very Good,H,SI2,60.3,56.0,1160,5.43,5.48,3.29
40716,40717,0.53,Very Good,E,SI2,58.3,62.0,1160,5.3,5.36,3.11
40717,40718,0.51,Fair,G,SI1,64.5,56.0,1160,5.06,5.01,3.25
40718,40719,0.44,Ideal,G,VVS1,62.0,54.0,1160,4.89,4.91,3.04
40719,40720,0.38,Ideal,F,VVS1,61.1,57.0,1160,4.71,4.69,2.87
40720,40721,0.38,Ideal,F,VVS1,60.9,57.0,1160,4.73,4.69,2.87
40721,40722,0.38,Ideal,E,VVS1,62.4,54.0,1160,4.64,4.66,2.9
40722,40723,0.5,Ideal,H,SI1,59.2,62.0,1160,5.17,5.2,3.07
40723,40724,0.41,Very Good,F,VVS1,62.3,54.0,1161,4.75,4.79,2.97
40724,40725,0.53,Very Good,G,SI1,63.4,54.0,1161,5.09,5.13,3.24
40725,40726,0.52,Very Good,H,SI1,62.6,59.0,1161,5.06,5.13,3.19
40726,40727,0.52,Very Good,G,SI1,60.6,61.0,1161,5.17,5.19,3.14
40727,40728,0.62,Ideal,I,SI2,62.5,55.0,1161,5.45,5.49,3.42
40728,40729,0.51,Ideal,H,SI1,62.1,54.0,1161,5.13,5.15,3.19
40729,40730,0.51,Ideal,H,SI1,61.3,57.0,1161,5.1,5.14,3.14
40730,40731,0.35,Very Good,D,VVS2,60.0,56.0,1162,4.61,4.63,2.77
40731,40732,0.37,Ideal,E,VVS2,61.6,55.0,1162,4.62,4.63,2.85
40732,40733,0.35,Ideal,D,VVS2,60.8,56.0,1162,4.58,4.6,2.79
40733,40734,0.54,Ideal,F,SI2,61.2,56.0,1162,5.27,5.28,3.23
40734,40735,0.46,Very Good,I,VVS1,62.9,57.0,1163,4.91,4.95,3.1
40735,40736,0.34,Ideal,E,IF,62.0,56.0,1163,4.47,4.5,2.78
40736,40737,0.34,Ideal,E,IF,62.0,56.0,1163,4.49,4.51,2.79
40737,40738,0.34,Ideal,E,IF,61.7,56.0,1163,4.46,4.48,2.76
40738,40739,0.54,Ideal,E,SI2,62.1,56.0,1163,5.18,5.22,3.23
40739,40740,0.54,Good,E,SI2,63.4,56.0,1163,5.14,5.18,3.27
40740,40741,0.54,Good,E,SI2,63.8,54.0,1163,5.17,5.18,3.3
40741,40742,0.54,Very Good,E,SI2,61.9,58.0,1163,5.19,5.24,3.23
40742,40743,0.36,Ideal,G,VVS1,61.7,55.0,1163,4.58,4.6,2.83
40743,40744,0.53,Ideal,I,VS2,62.2,56.0,1163,5.15,5.2,3.22
40744,40745,0.51,Ideal,H,VS2,61.6,55.0,1163,5.13,5.16,3.17
40745,40746,0.41,Ideal,H,VS2,60.7,55.0,1163,4.83,4.86,2.94
40746,40747,0.41,Ideal,H,VS2,61.7,56.0,1163,4.77,4.79,2.95
40747,40748,0.47,Ideal,G,SI1,60.8,56.0,1163,5.0,5.03,3.05
40748,40749,0.36,Ideal,H,IF,61.3,57.0,1163,4.59,4.61,2.82
40749,40750,0.4,Ideal,F,VVS2,61.7,55.0,1163,4.76,4.74,2.93
40750,40751,0.4,Ideal,F,VVS2,61.7,56.0,1163,4.74,4.72,2.92
40751,40752,0.4,Ideal,F,VVS2,62.4,56.0,1163,4.74,4.72,2.95
40752,40753,0.4,Premium,F,VVS2,60.8,59.0,1163,4.76,4.72,2.88
40753,40754,0.4,Premium,F,VVS2,60.8,59.0,1163,4.73,4.71,2.87
40754,40755,0.4,Premium,F,VVS2,62.2,59.0,1163,4.7,4.65,2.91
40755,40756,0.4,Ideal,F,VVS2,62.8,57.0,1163,4.73,4.66,2.95
40756,40757,0.4,Ideal,F,VVS2,62.4,57.0,1163,4.73,4.69,2.94
40757,40758,0.4,Ideal,F,VVS2,62.8,56.0,1163,4.73,4.69,2.96
40758,40759,0.4,Premium,F,VVS2,60.7,58.0,1163,4.75,4.7,2.87
40759,40760,0.51,Premium,H,SI1,60.0,61.0,1163,5.2,5.17,3.11
40760,40761,0.4,Very Good,E,VVS1,63.4,57.0,1164,4.64,4.66,2.95
40761,40762,0.42,Good,F,VVS1,61.2,64.0,1164,4.75,4.8,2.92
40762,40763,0.46,Very Good,I,VVS1,63.5,57.0,1164,4.91,4.85,3.1
40763,40764,0.55,Ideal,J,VS2,62.6,57.0,1165,5.21,5.17,3.25
40764,40765,0.41,Very Good,H,VVS1,62.0,56.0,1166,4.77,4.81,2.97
40765,40766,0.62,Premium,J,VS2,61.2,59.0,1166,5.42,5.52,3.35
40766,40767,0.37,Fair,F,IF,52.3,61.0,1166,4.96,4.91,2.58
40767,40768,0.4,Ideal,E,VVS2,62.4,59.0,1166,4.7,4.73,2.94
40768,40769,0.5,Ideal,J,VS2,62.0,56.0,1166,5.08,5.12,3.16
40769,40770,0.53,Ideal,G,SI1,62.1,53.0,1166,5.22,5.27,3.26
40770,40771,0.41,Good,E,VS1,63.9,53.0,1166,4.75,4.7,3.02
40771,40772,0.46,Fair,D,VS1,67.3,61.0,1166,4.81,4.71,3.21
40772,40773,0.72,Good,F,I1,63.6,58.0,1166,5.72,5.62,3.6
